time,distance,delta_distance,delta_time,velocity,odom_pos_x
1707150689.1110694,4.068999767303467,-0.0970001220703125,0.20169472694396973,-0.480925423981257,0.16806275569771525
1707150689.310604,4.004000186920166,-0.06499958038330078,0.1973402500152588,-0.32937822050126553,0.16806275569771525
1707150689.511282,4.005000114440918,0.0009999275207519531,0.1984717845916748,0.005038134376678027,0.16806275569771525
1707150689.7118528,3.943000078201294,-0.06200003623962402,0.19840407371520996,-0.31249376627527886,0.16806275569771525
1707150689.9126306,3.994999885559082,0.051999807357788086,0.1986691951751709,0.26174066549139,0.16806275569771525
1707150690.1132452,3.994999885559082,0.0,0.19849658012390137,0.0,0.16806275569771525
1707150690.313919,3.9779999256134033,-0.01699995994567871,0.19857215881347656,-0.08561099424641481,0.16806275569771525
1707150690.514561,3.98799991607666,0.009999990463256836,0.19862151145935059,0.05034696589399085,0.16806275569771525
1707150690.7152884,4.004000186920166,0.01600027084350586,0.19852638244628906,0.08059518662631503,0.16806275569771525
1707150690.915911,3.9739999771118164,-0.03000020980834961,0.19842171669006348,-0.15119418533814125,0.16806275569771525
1707150691.1166005,4.013999938964844,0.039999961853027344,0.1987013816833496,0.2013069134907741,0.16806275569771525
1707150691.3173106,3.999000072479248,-0.014999866485595703,0.1985936164855957,-0.07553045637135908,0.16806275569771525
1707150691.5181863,3.9809999465942383,-0.018000125885009766,0.1987593173980713,-0.09056242555391486,0.16806275569771525
1707150691.7186315,3.98799991607666,0.006999969482421875,0.19827508926391602,0.03530433151440672,0.16806275569771525
1707150691.919352,3.984999895095825,-0.003000020980834961,0.19853663444519043,-0.015110667052549287,0.16806275569771525
1707150692.120212,3.986999988555908,0.002000093460083008,0.19869279861450195,0.010066260448439964,0.16806275569771525
1707150692.3210056,4.004000186920166,0.017000198364257812,0.19865059852600098,0.08557838984830791,0.16806275569771525
1707150692.5217073,3.9800000190734863,-0.024000167846679688,0.19858217239379883,-0.12085761555214584,0.16806275569771525
1707150692.7222028,3.9590001106262207,-0.020999908447265625,0.19825005531311035,-0.10592636866657607,0.16806275569771525
1707150692.9226952,4.014999866485596,0.055999755859375,0.19826245307922363,0.2824526529841637,0.16806275569771525
1707150693.1232626,3.9760000705718994,-0.03899979591369629,0.19727349281311035,-0.19769405082031605,0.16806275569771525
1707150693.3245144,3.997999906539917,0.021999835968017578,0.19905567169189453,0.11052102048149479,0.16806275569771525
1707150693.524962,4.005000114440918,0.0070002079010009766,0.19829773902893066,0.03530150134480192,0.16806275569771525
1707150693.7258778,3.997999906539917,-0.0070002079010009766,0.19874787330627441,-0.035221548711686174,0.16806275569771525
1707150693.928945,4.034999847412109,0.03699994087219238,0.20084714889526367,0.18421939806318507,0.16806275569771525
1707150694.1271195,3.990999937057495,-0.04399991035461426,0.19587445259094238,-0.22463322690939277,0.16806275569771525
1707150694.3294985,3.9760000705718994,-0.014999866485595703,0.20010972023010254,-0.07495821026758534,0.16806275569771525
1707150694.5287633,3.990000009536743,0.01399993896484375,0.19713330268859863,0.07101762499742996,0.16806275569771525
1707150694.7297695,4.001999855041504,0.011999845504760742,0.19888091087341309,0.060336839026238154,0.16806275569771525
1707150694.9296923,3.990000009536743,-0.011999845504760742,0.19776368141174316,-0.06067770087560776,0.16806275569771525
1707150695.130178,3.997999906539917,0.007999897003173828,0.19821381568908691,0.04035993644218151,0.16806275569771525
1707150695.3305364,3.990000009536743,-0.007999897003173828,0.19817590713500977,-0.04036765678949965,0.16806275569771525
1707150695.5314534,3.9830000400543213,-0.006999969482421875,0.19873309135437012,-0.03522296883079178,0.16806275569771525
1707150695.7318966,3.9690001010894775,-0.01399993896484375,0.19764089584350586,-0.07083523329062953,0.16806275569771525
1707150695.9325256,4.01200008392334,0.042999982833862305,0.19852519035339355,0.21659711171825743,0.16806275569771525
1707150696.1331284,3.9839999675750732,-0.0280001163482666,0.1984856128692627,-0.14106874520275456,0.16806275569771525
1707150696.3337317,4.00600004196167,0.02200007438659668,0.19848966598510742,0.11083737925302033,0.16806275569771525
1707150696.5346916,3.992000102996826,-0.01399993896484375,0.19880056381225586,-0.07042202847103127,0.16806275569771525
1707150696.7351081,4.013999938964844,0.021999835968017578,0.19821619987487793,0.11098909161766174,0.16806275569771525
1707150696.935871,3.996999979019165,-0.01699995994567871,0.19857382774353027,-0.08561027472177832,0.16806275569771525
1707150697.1366613,3.990000009536743,-0.006999969482421875,0.1987910270690918,-0.035212703438515694,0.16806275569771525
1707150697.3372705,3.992000102996826,0.002000093460083008,0.19846463203430176,0.010077833211800278,0.16806275569771525
1707150697.5382507,4.005000114440918,0.013000011444091797,0.19879984855651855,0.06539246150580397,0.16806275569771525
1707150697.7386034,3.984999895095825,-0.020000219345092773,0.1981644630432129,-0.10092737637187456,0.16806275569771525
1707150697.9394495,3.99399995803833,0.009000062942504883,0.19869065284729004,0.045296861294336604,0.16806275569771525
1707150698.1402366,4.01200008392334,0.018000125885009766,0.19864988327026367,0.09061231544002746,0.16806275569771525
1707150698.3409505,3.9730000495910645,-0.03900003433227539,0.19859838485717773,-0.1963763922869882,0.16806275569771525
1707150698.5416243,4.010000228881836,0.037000179290771484,0.19869089126586914,0.18621980632852156,0.16892934908568727
1707150698.7423713,3.992000102996826,-0.018000125885009766,0.19857263565063477,-0.09064756493779372,0.17726575317860285
1707150698.9429543,3.990999937057495,-0.0010001659393310547,0.1982104778289795,-0.005045979154512813,0.19560218225661266
1707150699.1435432,3.9519999027252197,-0.03900003433227539,0.19815564155578613,-0.19681516017446232,0.22393465566385265
